 -9.9000e+00  1.3000e+01 -1.0000e+01
 -9.7000e+00  5.0000e+00 -9.8000e+00
 -9.5000e+00  6.0000e+00 -9.6000e+00
 -9.3000e+00  9.0000e+00 -9.4000e+00
 -9.1000e+00  8.0000e+00 -9.2000e+00
 -8.9000e+00  1.0000e+01 -9.0000e+00
 -8.7000e+00  1.7000e+01 -8.8000e+00
 -8.5000e+00  1.4000e+01 -8.6000e+00
 -8.3000e+00  1.2000e+01 -8.4000e+00
 -8.1000e+00  1.7000e+01 -8.2000e+00
 -7.9000e+00  8.0000e+00 -8.0000e+00
 -7.7000e+00  1.6000e+01 -7.8000e+00
 -7.5000e+00  5.0000e+00 -7.6000e+00
 -7.3000e+00  1.8000e+01 -7.4000e+00
 -7.1000e+00  1.9000e+01 -7.2000e+00
 -6.9000e+00  1.1000e+01 -7.0000e+00
 -6.7000e+00  1.1000e+01 -6.8000e+00
 -6.5000e+00  1.7000e+01 -6.6000e+00
 -6.3000e+00  1.4000e+01 -6.4000e+00
 -6.1000e+00  8.0000e+00 -6.2000e+00
 -5.9000e+00  1.6000e+01 -6.0000e+00
 -5.7000e+00  1.2000e+01 -5.8000e+00
 -5.5000e+00  1.5000e+01 -5.6000e+00
 -5.3000e+00  1.2000e+01 -5.4000e+00
 -5.1000e+00  2.4000e+01 -5.2000e+00
 -4.9000e+00  1.6000e+01 -5.0000e+00
 -4.7000e+00  1.7000e+01 -4.8000e+00
 -4.5000e+00  1.8000e+01 -4.6000e+00
 -4.3000e+00  2.5000e+01 -4.4000e+00
 -4.1000e+00  2.5000e+01 -4.2000e+00
 -3.9000e+00  2.4000e+01 -4.0000e+00
 -3.7000e+00  3.3000e+01 -3.8000e+00
 -3.5000e+00  2.5000e+01 -3.6000e+00
 -3.3000e+00  4.5000e+01 -3.4000e+00
 -3.1000e+00  3.3000e+01 -3.2000e+00
 -2.9000e+00  3.3000e+01 -3.0000e+00
 -2.7000e+00  4.2000e+01 -2.8000e+00
 -2.5000e+00  2.6000e+01 -2.6000e+00
 -2.3000e+00  5.4000e+01 -2.4000e+00
 -2.1000e+00  3.5000e+01 -2.2000e+00
 -1.9000e+00  6.0000e+01 -2.0000e+00
 -1.7000e+00  6.9000e+01 -1.8000e+00
 -1.5000e+00  5.8000e+01 -1.6000e+00
 -1.3000e+00  8.7000e+01 -1.4000e+00
 -1.1000e+00  8.6000e+01 -1.2000e+00
 -9.0000e-01  8.9000e+01 -1.0000e+00
 -7.0000e-01  1.1700e+02 -8.0000e-01
 -5.0000e-01  1.4300e+02 -6.0000e-01
 -3.0000e-01  1.8900e+02 -4.0000e-01
 -1.0000e-01  3.2300e+02 -2.0000e-01
  1.0000e-01  3.0300e+02  0.0000e+00
  3.0000e-01  2.0000e+02  2.0000e-01
  5.0000e-01  1.4900e+02  4.0000e-01
  7.0000e-01  1.1000e+02  6.0000e-01
  9.0000e-01  9.7000e+01  8.0000e-01
  1.1000e+00  1.0000e+02  1.0000e+00
  1.3000e+00  8.1000e+01  1.2000e+00
  1.5000e+00  7.5000e+01  1.4000e+00
  1.7000e+00  4.3000e+01  1.6000e+00
  1.9000e+00  5.5000e+01  1.8000e+00
  2.1000e+00  4.2000e+01  2.0000e+00
  2.3000e+00  4.2000e+01  2.2000e+00
  2.5000e+00  4.1000e+01  2.4000e+00
  2.7000e+00  5.1000e+01  2.6000e+00
  2.9000e+00  3.4000e+01  2.8000e+00
  3.1000e+00  3.7000e+01  3.0000e+00
  3.3000e+00  3.3000e+01  3.2000e+00
  3.5000e+00  2.9000e+01  3.4000e+00
  3.7000e+00  3.4000e+01  3.6000e+00
  3.9000e+00  2.6000e+01  3.8000e+00
  4.1000e+00  2.9000e+01  4.0000e+00
  4.3000e+00  2.3000e+01  4.2000e+00
  4.5000e+00  2.6000e+01  4.4000e+00
  4.7000e+00  2.2000e+01  4.6000e+00
  4.9000e+00  2.1000e+01  4.8000e+00
  5.1000e+00  2.7000e+01  5.0000e+00
  5.3000e+00  1.5000e+01  5.2000e+00
  5.5000e+00  1.7000e+01  5.4000e+00
  5.7000e+00  1.9000e+01  5.6000e+00
  5.9000e+00  2.0000e+01  5.8000e+00
  6.1000e+00  2.8000e+01  6.0000e+00
  6.3000e+00  2.4000e+01  6.2000e+00
  6.5000e+00  1.8000e+01  6.4000e+00
  6.7000e+00  1.6000e+01  6.6000e+00
  6.9000e+00  2.0000e+01  6.8000e+00
  7.1000e+00  2.6000e+01  7.0000e+00
  7.3000e+00  1.8000e+01  7.2000e+00
  7.5000e+00  1.1000e+01  7.4000e+00
  7.7000e+00  1.5000e+01  7.6000e+00
  7.9000e+00  2.2000e+01  7.8000e+00
  8.1000e+00  1.4000e+01  8.0000e+00
  8.3000e+00  9.0000e+00  8.2000e+00
  8.5000e+00  1.3000e+01  8.4000e+00
  8.7000e+00  9.0000e+00  8.6000e+00
  8.9000e+00  3.0000e+00  8.8000e+00
  9.1000e+00  1.6000e+01  9.0000e+00
  9.3000e+00  1.1000e+01  9.2000e+00
  9.5000e+00  1.1000e+01  9.4000e+00
  9.7000e+00  1.6000e+01  9.6000e+00
  9.9000e+00  3.0000e+00  9.8000e+00
  9.9000e+00  0.0000e+00  1.0000e+01
