  5.0000e-02  1.2182e+06  0.0000e+00
  1.5000e-01  7.1536e+05  1.0000e-01
  2.5000e-01  6.7330e+03  2.0000e-01
  3.5000e-01  1.2193e+05  3.0000e-01
  4.5000e-01  1.4570e+05  4.0000e-01
  5.5000e-01  7.5700e+04  5.0000e-01
  6.5000e-01  1.2246e+04  6.0000e-01
  7.5000e-01  9.4236e+04  7.0000e-01
  8.5000e-01  4.5221e+04  8.0000e-01
  9.5000e-01  1.2846e+05  9.0000e-01
  1.0500e+00  9.1520e+03  1.0000e+00
  1.1500e+00  2.9300e+04  1.1000e+00
  1.2500e+00  1.3071e+04  1.2000e+00
  1.3500e+00  8.6260e+03  1.3000e+00
  1.4500e+00  3.4770e+03  1.4000e+00
  1.5500e+00  5.3780e+03  1.5000e+00
  1.6500e+00  7.0400e+02  1.6000e+00
  1.7500e+00  4.1300e+02  1.7000e+00
  1.8500e+00  9.7400e+02  1.8000e+00
  1.9500e+00  3.2600e+02  1.9000e+00
  2.0500e+00  3.3900e+02  2.0000e+00
  2.1500e+00  3.7000e+01  2.1000e+00
  2.2500e+00  3.5000e+01  2.2000e+00
  2.3500e+00  3.0000e+00  2.3000e+00
  2.4500e+00  1.4000e+01  2.4000e+00
  2.5500e+00  6.0000e+00  2.5000e+00
  2.6500e+00  0.0000e+00  2.6000e+00
  2.7500e+00  0.0000e+00  2.7000e+00
  2.8500e+00  2.0000e+00  2.8000e+00
  2.9500e+00  0.0000e+00  2.9000e+00
  3.0500e+00  1.0000e+00  3.0000e+00
  3.1500e+00  3.0000e+00  3.1000e+00
  3.2500e+00  2.0000e+00  3.2000e+00
  3.3500e+00  1.0000e+00  3.3000e+00
  3.4500e+00  8.0000e+00  3.4000e+00
  3.5500e+00  2.5000e+01  3.5000e+00
  3.6500e+00  2.0000e+00  3.6000e+00
  3.7500e+00  0.0000e+00  3.7000e+00
  3.8500e+00  3.0000e+00  3.8000e+00
  3.9500e+00  2.0000e+00  3.9000e+00
  4.0500e+00  0.0000e+00  4.0000e+00
  4.1500e+00  0.0000e+00  4.1000e+00
  4.2500e+00  2.0000e+00  4.2000e+00
  4.3500e+00  0.0000e+00  4.3000e+00
  4.4500e+00  0.0000e+00  4.4000e+00
  4.5500e+00  0.0000e+00  4.5000e+00
  4.6500e+00  0.0000e+00  4.6000e+00
  4.7500e+00  1.5200e+02  4.7000e+00
  4.8500e+00  3.0000e+00  4.8000e+00
  4.9500e+00  1.0000e+00  4.9000e+00
  4.9500e+00  0.0000e+00  5.0000e+00
